MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,38,10038,10038,138.89435793699860255,49861.105642063
2,10054,20054,20054,127.50577067934642628,11.388587257653
3,20075,30075,30075,158.78212730918525608,31.276356629839
4,30103,40103,40103,262.52803985145698107,103.745912542272
5,40131,50131,50131,77.186248950945852698,185.341790900511
6,50156,60156,60156,44.967492951840860371,32.218755999105
7,60174,70174,70174,94.742043435941226903,49.7745504841003
8,70270,80270,80270,115.89318851132165378,21.1511450753808
9,80309,90309,90309,128.07565182178643681,12.182463310464
10,90337,100337,100337,129.30157038809949199,1.225918566313
11,100348,110348,110348,127.3208874095320482,1.980682978567
12,110377,120377,120377,131.06121316536024324,3.74032575582798
13,120454,130454,130454,135.18588177547925966,4.12466861011902
14,130495,140495,140495,135.10608248711326951,0.0797992883659902
15,140520,150468,150468,128.90079768926850079,6.205284797844
16,150505,160505,160505,132.39456896633640781,3.493771277067
17,160601,170601,170601,133.05802838934741317,0.663459423010977
18,170658,180658,180658,135.92015598692779577,2.86212759758101
19,180704,190704,190704,136.366000048359723,0.445844061432012
20,190793,200793,200793,137.27692400811892526,0.910923959759003
21,200858,210858,210858,136.87542427288286717,0.401499735236001
22,210954,220954,220954,134.14999637214728523,2.72542790073601
23,221019,231019,231019,134.36683670282985759,0.216840330682999
24,231098,238095,238095,134.47419504237083743,0.107358339541008
25,238100,244497,244497,134.01929370808298358,0.454901334287996
26,244643,254643,254643,133.44022050259212619,0.579073205490999
27,254676,263770,263770,134.61438541622382559,1.17416491363198
28,263821,270273,270273,133.26985700255042389,1.344528413674
29,270289,277040,277040,133.97584485821784028,0.705987855668013
30,277185,286544,286544,133.34964649974395456,0.626198358473999
31,286622,295329,295329,133.24844941809269017,0.101197081651009
32,295441,305441,305441,132.85112612244535057,0.397323295647993
33,305518,311096,311096,133.0268448080970245,0.175718685651987
34,311113,317096,317096,132.93328474840413378,0.0935600596930044
35,317130,323334,323334,132.81471438149480946,0.118570366908983
36,323386,329496,329496,132.85617139220173044,0.0414570107069778
37,329540,336414,336414,132.81242433163691885,0.0437470605649821
38,336426,342242,342242,132.70300242327743945,0.109421908359991
39,342318,348609,348609,132.60657013383826097,0.0964322894390079
40,348671,354810,354810,132.34620570602288581,0.260364427815006
41,354846,360975,360975,132.29001092478316082,0.0561947812400092
42,361011,367723,367723,132.50360226400675856,0.213591339223996
43,367734,373108,373108,132.42490004504500689,0.078702218961979
44,373117,379554,379554,132.36646025129743975,0.0584397937479935
45,379562,385434,385434,132.38059077804754793,0.0141305267509892
46,385441,392638,392638,132.31341333163192076,0.0671774464159967
47,392649,399167,399167,132.27517020765085931,0.0382431239810046
48,399181,406461,406461,132.24128408740051555,0.0338861202500027
49,406468,411994,411994,132.26107562228136771,0.0197915348799995
50,412002,416283,416283,132.16636127338080087,0.0947143488999984
51,416291,422091,422091,132.18966954949175374,0.0233082761110097
52,422098,427812,427812,132.09592877175842318,0.0937407777340127
53,427820,432960,432960,132.11311699235338324,0.0171882205950169
54,432966,439027,439027,132.04178638422615677,0.0713306081270275
55,439034,445480,445480,131.9847916146241289,0.0569947696019995
56,445485,453542,453542,131.93188339568155243,0.0529082189419796
57,453547,458951,458951,131.90048914837387883,0.0313942473080147
58,458959,464531,464531,131.90084538926160462,0.000356240888010007
59,464537,471145,471145,131.8898107637134558,0.0110346255490015
60,471153,476489,476489,131.951073245636195,0.061262481922995
61,476492,479714,479714,131.89782694340050284,0.05324630223501
62,479721,485075,485075,131.91376155616237043,0.0159346127610149
63,485081,492976,492976,131.86657304788769807,0.0471885082739902
64,492981,498953,498953,131.83310536757750242,0.0334676803099967
65,498957,504595,504595,131.80529788080301046,0.0278074867750036
66,504601,512416,512416,131.81602337762168986,0.010725496818992
67,512419,516463,516463,131.79865613530569135,0.0173672423159985
68,516466,520398,520398,131.77785803232058015,0.0207981029849975
69,520400,523989,523989,131.77355125611856579,0.00430677620201436
70,523992,527704,527704,131.76080196495260566,0.0127492911659886
71,527707,531211,531211,131.75678661910308165,0.00401534585000718
72,531213,533379,533379,131.75679720834745012,1.0589243998993e-05
73,533380,536779,536779,131.75660520906433248,0.000191999283003952
74,536780,538941,538941,131.75658938673512921,1.58223290043225e-05
75,538942,541537,541537,131.75653214045331652,5.72462819832253e-05
76,541541,543692,543692,131.75644172005951305,9.04203930076619e-05
77,543693,545761,545761,131.75642307321260205,1.8646846996262e-05
78,545762,548648,548648,131.75650169946601409,7.86262530141357e-05
79,548651,551262,551262,131.75643044452496611,7.12549410195606e-05
80,551263,553384,553384,131.75650831833914367,7.78738140070345e-05
81,553386,555645,555645,131.75651312179911656,4.80346000131249e-06
82,555647,558180,558180,131.75645705999193069,5.60618070153396e-05
83,558183,560359,560359,131.7564458387613513,1.12212309772985e-05
84,560362,570362,570362,131.75625794735640284,0.000187891405005303
85,570363,572752,572752,131.75630774184230631,4.97944859887411e-05
86,572754,574951,574951,131.75637104823678669,6.33063950203905e-05
87,574954,577134,577134,131.75638168004564932,1.06318089763136e-05
88,577136,579299,579299,131.756320810848365,6.08691979948617e-05
89,579301,581452,581452,131.75637751550931398,5.67046610058242e-05
90,581453,583540,583540,131.75637865317992237,1.13767100629047e-06
91,583541,585809,585809,131.75640282967441408,2.41764939801214e-05
92,585810,587968,587968,131.75638155550728925,2.1274166982721e-05
93,587969,590125,590125,131.75635148318022516,3.00723270072467e-05
94,590126,592276,592276,131.75643207621715192,8.05930370120223e-05
95,592278,594742,594742,131.75641508261537638,1.69936020029127e-05
96,594743,596786,596786,131.75635277341399387,6.23092010130222e-05
97,596787,599093,599093,131.75640434215119967,5.15687370068463e-05
98,599094,601374,601374,131.75635446864953337,4.98735010125984e-05
99,601376,603636,603636,131.75630387527206722,5.05933779777479e-05
100,603637,605753,605753,131.75623788120120139,6.59940710079354e-05
101,605754,607859,607859,131.75630952288020126,7.16416789998675e-05
102,607860,609963,609963,131.75624648515648119,6.3037724004289e-05
103,609964,612213,612213,131.75627265918134867,2.61740250095954e-05
104,612214,614520,614520,131.75624176687486511,3.08923060003963e-05
105,614521,616767,616767,131.75632703780823363,8.52709329990375e-05
