MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,154,10154,10154,69.613237328888459388,49930.3867626711
2,10700,20700,20700,67.991585472601158813,1.6216518562873
3,20729,30729,30729,86.719216964514984625,18.7276314919138
4,30869,40869,40869,93.160158390449396393,6.4409414259344
5,40924,50767,50767,94.664112506504167754,1.5039541160548
6,50791,59874,59874,94.531490128150750252,0.132622378353389
7,59881,67587,67587,94.515052875876577332,0.0164372522742013
8,67594,75080,75080,94.575575561553449688,0.0605226856768013
9,75090,82674,82674,94.642130000878907481,0.0665544393254862
10,82681,90070,90070,94.679107138512463848,0.0369771376336132
11,90080,97263,97263,94.699672006925553092,0.0205648684130892
12,97269,104602,104602,94.693403607753154461,0.00626839917239863
13,104611,111411,111411,94.705372512789196549,0.0119689050359995
14,111417,118467,118467,94.707146137510463291,0.00177362472130937
15,118473,128473,128473,94.694509191395638936,0.0126369461149096
16,128482,136227,136227,94.699171606630017095,0.00466241523440658
17,136233,144597,144597,94.711893611025189443,0.0127220043952008
18,144604,152414,152414,94.720498231631708563,0.0086046206064907
19,152420,159581,159581,94.735699452045949442,0.0152012204142125
20,159587,165777,165777,94.761482933484998625,0.0257834814390918
21,165783,172561,172561,94.797476909583934912,0.0359939760989079
22,172567,180287,180287,94.836619524140687076,0.0391426145567948
23,180294,187342,187342,94.840767320249113936,0.00414779610839844
24,187346,194103,194103,94.88022014510593749,0.0394528248567951
25,194106,200021,200021,94.910337904390516428,0.0301177592846074
26,200025,210025,210025,94.94517618811966031,0.0348382837292007
27,210031,215537,215537,94.959572323024602269,0.0143961349048993
28,215553,224184,224184,94.734781008210433129,0.224791314814198
29,224189,230050,230050,94.803445626414458047,0.068664618204096
30,230054,236025,236025,94.889984907820036142,0.0865392814054928
31,236029,242315,242315,94.915973723531962492,0.0259888157120116
32,242321,248546,248546,94.935591168843529886,0.0196174453114963
33,248549,254395,254395,94.950458656261858437,0.0148674874183996
34,254399,261685,261685,94.961517615652468294,0.0110589593905956
35,261689,268271,268271,94.970904277524482495,0.00938666187199999
36,268286,276958,276958,94.812105297528546544,0.158798979995993
37,276961,283667,283667,94.566437454681178565,0.245667842847297
38,283670,289879,289879,94.642621008556005791,0.0761835538747988
39,289883,298095,298095,94.656766713966135285,0.0141457054101011
40,298098,302989,302989,94.667750390859964682,0.0109836768938862
41,302992,312992,312992,94.675939631678886599,0.00818924081890771
42,312996,319813,319813,94.682831080228453402,0.00689144854959522
43,319816,325364,325364,94.687960240250475863,0.00512916002200825
44,325368,335022,335022,94.69315295312138403,0.00519271287089396
45,335028,345028,345028,94.720137197083531078,0.0269842439621044
46,345031,352054,352054,94.716472476789192569,0.00366472029429588
47,352057,360536,360536,94.715166200183276146,0.00130627660590221
48,360539,367359,367359,94.71558648705700989,0.000420286873691111
49,367362,373784,373784,94.716925337516386207,0.00133885045940474
50,373788,380112,380112,94.750154533850036387,0.0332291963335933
51,380115,387279,387279,94.786665885570982937,0.0365113517210034
52,387282,395190,395190,94.762387027540384565,0.0242788580305984
53,395194,405194,405194,94.824513336357583171,0.0621263088171986
54,405205,415002,415002,94.591608343743260434,0.232904992614294
55,415005,423191,423191,94.635283517551442856,0.0436751738080972
56,423195,432146,432146,94.699663945217096739,0.0643804276656965
57,432149,440901,440901,94.706934367102178385,0.00727042188511007
58,440904,450047,450047,94.713342969912289959,0.00640860281009736
59,450050,456678,456678,94.786443850425044388,0.0731008805126976
60,456681,464286,464286,94.807514092286268692,0.0210702418612954
61,464292,473258,473258,94.816007664756611462,0.00849357247030014
62,473261,483261,483261,94.780260648283132241,0.0357470164734934
63,483272,493272,493272,94.462048909180836631,0.31821173910231
64,493285,503285,503285,94.306110686661938303,0.155938222518898
65,503288,513288,513288,94.449832481872789458,0.143721795210908
66,513301,523301,523301,93.989879715124274639,0.459952766748501
67,523304,533304,533304,93.976528753437719388,0.0133509616865979
68,533330,543330,543330,94.296236185446588252,0.319707432008897
69,543368,553368,553368,92.502150569938223157,1.79408561550841
70,553400,563400,563400,95.118215872280217127,2.61606530234201
71,563468,573468,573468,93.32361723132935083,1.79459864095081
72,573488,583027,583027,95.777419015574835726,2.4538017842454
73,583049,593049,593049,94.1169119051316585,1.66050711044309
74,593051,599658,599658,94.359383006481309053,0.242471101349594
75,599678,609678,609678,98.194269489587767907,3.8348864831065
76,609710,617649,617649,94.131351937801085228,4.0629175517867
77,617651,625953,625953,94.453377197843209956,0.322025260042096
78,625955,634489,634489,94.579069120979355034,0.125691923136202
79,634505,642070,642070,93.654245617514973787,0.924823503464395
80,642098,652098,652098,93.849795239301144534,0.1955496217861
81,652117,661039,661039,93.791437311344807881,0.0583579279563082
82,661064,670620,670620,93.970621588640867117,0.179184277296102
83,670622,680091,680091,94.340629821412719025,0.370008232771809
84,680093,688820,688820,94.57745825809739415,0.236828436684689
85,688830,693906,693906,94.312256607985148094,0.265201650112289
86,693914,699776,699776,94.285514334662991587,0.0267422733220997
87,699778,709778,709778,94.557782343788232993,0.272268009125199
88,709787,716795,716795,94.406223765472176979,0.151558578315999
89,716797,723153,723153,94.586482793543467551,0.180259028071291
90,723163,727676,727676,94.419521910998028602,0.166960882545496
91,727691,732747,732747,94.286214459533695731,0.133307451464304
92,732751,736871,736871,94.420376836482688532,0.134162376949007
93,736885,742207,742207,94.407724278036283749,0.0126525584464048
94,742210,747616,747616,94.569105752868068748,0.161381474831799
95,747618,755449,755449,94.698033589461275028,0.128927836593206
96,755456,760140,760140,94.628123921153232345,0.0699096683080995
97,760146,764288,764288,94.565718329103304995,0.0624055920498989
98,764291,768161,768161,94.626228791188012224,0.060510462084693
99,768164,771123,771123,94.645670408816314989,0.0194416176283028
100,771127,773344,773344,94.645709568126733302,3.91593104041021e-05
101,773346,777044,777044,94.689033656433281294,0.0433240883065906
102,777046,783498,783498,94.784812536628933799,0.0957788801956099
103,783500,785722,785722,94.784774617589533818,3.79190393999806e-05
104,785730,790027,790027,94.653642205787505759,0.131132411802
105,790028,792181,792181,94.653676543608170846,3.43378206935085e-05
106,792185,802185,802185,94.691760167467847964,0.0380836238596061
107,802186,804306,804306,94.691769412822537788,9.24535468982413e-06
108,804308,810600,810600,94.691790217072465907,2.08042499991734e-05
109,810602,812694,812694,94.691825308662131988,3.50915896092374e-05
110,812696,814799,814799,94.691807655570258362,1.76530918025719e-05
111,814803,824410,824410,94.691848230696223254,4.0575125893838e-05
112,824414,826704,826704,94.691886492484925952,3.82617887026981e-05
113,826706,828785,828785,94.6918267506064808,5.97418784025194e-05
114,828786,830879,830879,94.691867017652498362,4.02670460033505e-05
115,830881,834454,834454,94.707630268839196219,0.0157632511866979
116,834457,836617,836617,94.707705411212927515,7.51423737028745e-05
117,836619,838685,838685,94.707663408472427591,4.20027404999246e-05
