MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,56,10056,10056,90.755416528882250304,49909.2445834711
2,10061,20061,20061,86.467910312400647399,4.28750621648169
3,20141,30141,30141,77.689986005099285649,8.7779243073013
4,30183,40183,40183,72.750778048856901137,4.9392079562424
5,40226,50226,50226,63.233805087115278809,9.5169729617416
6,50443,60443,60443,66.37689499200895682,3.1430899048937
7,60606,70606,70606,61.304399069319750026,5.0724959226892
8,70609,80609,80609,60.149894071730322764,1.1545049975895
9,80612,90612,90612,59.066113509044882335,1.0837805626854
10,90684,100684,100684,61.953283447354081659,2.88716993830921
11,100730,110730,110730,60.092268221826664387,1.8610152255274
12,110835,120835,120835,55.190692942353940964,4.9015752794728
13,120935,130935,130935,52.98056059463530687,2.2101323477186
14,130987,140987,140987,53.210865678080935481,0.2303050834456
15,140992,150992,150992,53.137184783008763134,0.0736808950721013
16,150995,160995,160995,52.932223580925850115,0.204961202082899
17,161103,171103,171103,52.372558282184179745,0.559665298741699
18,171577,181577,181577,50.962925148867086023,1.4096331333171
19,181624,191624,191624,51.020830005004981444,0.0579048561379025
20,191640,201640,201640,52.276318145504959034,1.2554881405
21,201704,211704,211704,51.696459160809965283,0.579858984695001
22,211801,221801,221801,51.740168610326470855,0.0437094495164985
23,221854,231854,231854,51.558794754385729675,0.181373855940798
24,231895,241895,241895,50.052286924810701407,1.506507829575
25,242200,252200,252200,46.554157231570847841,3.4981296932399
26,252318,262318,262318,46.364167053186740475,0.1899901783841
27,262408,272408,272408,44.880186963735518191,1.4839800894512
28,272417,282417,282417,58.325956439049740254,13.4457694753142
29,282467,292467,292467,59.529450578941329297,1.2034941398916
30,292481,302481,302481,59.284876893391306396,0.244573685550002
31,302483,312483,312483,59.263046884190075048,0.0218300092011958
32,312492,322492,322492,58.929837299852025012,0.333209584338107
33,322563,332563,332563,57.809866066998566225,1.11997123285339
34,332580,342580,342580,57.906169761490090764,0.0963036944914961
35,342602,352602,352602,57.812304980758312922,0.0938647807317992
36,352625,362625,362625,57.747813024426541517,0.0644919563317998
37,362671,372671,372671,57.563428424883852585,0.184384599542597
38,372691,382691,382691,57.377126437637301137,0.186301987246601
39,382705,392705,392705,57.270572230917721868,0.106554206719601
40,392717,402717,402717,57.133479299522733186,0.137092931395003
41,402732,412732,412732,57.14464884604269912,0.0111695465200015
42,412762,422762,422762,56.993231437534241479,0.1514174085085
43,422768,432768,432768,56.968220732195661071,0.0250107053385022
44,432773,442773,442773,56.951672893610123083,0.0165478385855948
45,442775,452775,452775,56.879192893613854665,0.0724799999962045
46,452807,462807,462807,56.850719443360198113,0.0284734502536992
47,462813,472813,472813,56.842080928899484604,0.0086385144606993
48,472818,482818,482818,56.844858357825877704,0.00277742892640021
49,482865,492865,492865,56.857783523139296733,0.0129251653133977
50,492870,502870,502870,56.863118309897544123,0.00533478675820476
51,502905,512905,512905,57.226419954231985798,0.363301644334499
52,512909,522909,522909,57.210328061384750242,0.0160918928472
53,522913,532913,532913,57.200400036932244063,0.00992802445259855
54,532917,542917,542917,57.195400480191494808,0.00499955674069952
55,542921,552921,552921,57.1952548802393963,0.000145599952098507
56,552925,562925,562925,57.200643627139392322,0.00538874689999602
57,562934,572934,572934,56.904511652175536085,0.296131974963899
58,572948,582948,582948,57.001687490924410895,0.0971758387488961
59,582953,592953,592953,57.035598738781608574,0.0339112478572048
60,592961,602961,602961,56.989299614743188727,0.0462991240383985
61,602965,612965,612965,57.026019706572007806,0.0367200918287978
62,612973,622973,622973,57.066666604381552474,0.0406468978096015
63,622979,632979,632979,57.094886577646597914,0.0282199732649957
64,632986,642986,642986,57.101432684409203944,0.00654610676259892
65,642992,652992,652992,57.134885532300444311,0.0334528478912048
66,652994,662994,662994,57.122651067660740409,0.0122344646397039
67,662996,672996,672996,57.109700368995454767,0.0129506986652004
68,672999,682999,682999,57.142825242485656645,0.0331248734902019
69,683001,691893,691893,57.129058539899702396,0.0137667025859969
70,691958,701958,701958,72.710865267388953725,15.5818067274893
71,701962,711962,711962,72.742908190365028531,0.0320429229760038
72,711971,721971,721971,72.773238405701931697,0.0303302153369032
73,721976,731134,731134,72.800321237993443901,0.027082832291498
74,731138,741138,741138,72.826427466231194785,0.0261062282377935
75,741145,750894,750894,72.849034473411663271,0.0226070071805111
76,750900,760900,760900,72.870358313471257361,0.0213238400595941
77,760933,770933,770933,72.760056587945655338,0.110301725525602
78,770988,780988,780988,72.774921987500050591,0.0148653995543953
79,781013,791013,791013,72.76671219862581097,0.00820978887429646
80,791028,800191,800191,72.752515624795961457,0.0141965738297927
81,800201,810201,810201,72.77422580468895319,0.0217101798929917
82,810210,819529,819529,72.785366148421431376,0.0111403437324071
83,819544,829512,829512,72.765056236570799797,0.0203099118506032
84,829515,839515,839515,72.767614798270898291,0.00255856170009849
85,839524,846748,846748,72.778393869646038183,0.0107790713750973
86,846762,854022,854022,72.774168034125708004,0.00422583552030176
