MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,66,10066,10066,84.208014430571950015,49915.7919855694
2,10086,20086,20086,79.02167550704785981,5.1863389235241
3,20088,30088,30088,76.849669089402340205,2.1720064176456
4,30092,40092,40092,76.542212239568556242,0.307456849833699
5,40097,50097,50097,76.27334947794595621,0.2688627616226
6,50105,60105,60105,76.971487453552455804,0.6981379756065
7,60110,70110,70110,75.351906612658623885,1.6195808408939
8,70115,80115,80115,75.346301153968042286,0.00560545869059581
9,80120,90120,90120,75.342777013437853384,0.00352414053010364
10,90126,94852,94852,75.33950212331561147,0.00327489012229876
11,94857,104857,104857,75.33738750726720923,0.00211461604840224
12,104862,114862,114862,75.335535462932568862,0.00185204433459774
13,114875,123824,123824,75.332291576450629123,0.00324388648199658
14,123829,133829,133829,75.330642547373642515,0.00164902907700082
15,133834,140607,140607,75.328411649106854497,0.00223089826670275
16,140614,150614,150614,75.326521156047462568,0.00189049305939193
17,150621,158613,158613,75.324911376761562565,0.0016097792859
18,158619,165726,165726,75.323249657643202681,0.00166171911840252
19,165734,175734,175734,75.321418505615028494,0.00183115202820261
20,175740,185740,185740,75.319525298062345087,0.00189320755269762
21,185745,195745,195745,75.317985938283825931,0.00153935977850495
22,195752,202485,202485,75.316210146000571513,0.00177579228319757
23,202508,212508,212508,75.310727938484433253,0.0054822075161951
24,212520,222520,222520,75.30773513783577755,0.00299280064859886
25,222526,232526,232526,75.306359794240137262,0.00137534359571134
26,232531,239588,239588,75.304260239744678529,0.00209955449538768
27,239594,249594,249594,75.303199071401010656,0.00106116834371051
28,249600,257187,257187,75.301958759093281515,0.00124031230770072
29,257194,263676,263676,75.299928198380598587,0.00203056071269714
30,263682,273682,273682,75.298326135436568052,0.00160206294400211
31,273706,283706,283706,75.294494702362456451,0.00383143307409739
32,283717,293717,293717,75.292044694898535795,0.00245000746400592
33,293724,303724,303724,75.289863162204554214,0.00218153269389632
34,303730,310272,310272,75.288093974051363944,0.00176918815319027
35,310277,318697,318697,75.286849504215240358,0.00124446983620885
36,318702,328702,328702,75.285162633177932889,0.00168687103729326
37,328706,334960,334960,75.283445620859936298,0.0017170123180108
38,334964,344084,344084,75.280846455140661533,0.0025991657191895
39,344089,354089,354089,75.278881283694815352,0.00196517144590302
40,354094,364094,364094,75.277527771183812888,0.00135351251100246
41,364099,370084,370084,75.275952646551559155,0.00157512463219689
42,370096,378554,378554,75.271950176866212701,0.0040024696854033
43,378566,388208,388208,75.269423278280228828,0.00252689858599808
44,388212,395725,395725,75.267328445991253716,0.00209483228890406
45,395732,403043,403043,75.265513047892525833,0.00181539809879894
46,403055,413055,413055,75.26059607288090092,0.00491697501159649
47,413081,423081,423081,75.255480122859651715,0.00511595002120657
48,423086,433086,433086,75.253939279970921916,0.00154084288880085
49,433092,443092,443092,75.252645461616097577,0.00129381835479592
50,443097,451261,451261,75.250446464043093897,0.00219899757300368
51,451267,455744,455744,75.248552277779324982,0.00189418626379734
52,455748,459629,459629,75.246334872405569172,0.00221740537369897
53,459634,469110,469110,75.244914756356067187,0.00142011604950198
54,469115,479115,479115,75.243379694485568621,0.00153506187049857
55,479126,489126,489126,75.240490275684237531,0.00288941880140214
56,489132,497826,497826,75.238935061030346674,0.00155521465389086
57,497856,507856,507856,75.233637234997871701,0.00529782603240392
58,507861,515115,515115,75.232101129886089552,0.00153610511179636
59,515125,525125,525125,75.229228785383057243,0.00287234450300389
60,525133,535133,535133,75.22657284438548686,0.0026559409975988
61,535138,545138,545138,75.225084867584527615,0.00148797680100188
62,545144,555144,555144,75.223407143908175954,0.00167772367629482
63,555149,562661,562661,75.221921485876478641,0.00148565803169731
64,562665,568030,568030,75.219378400097753001,0.00254308577871143
65,568035,576515,576515,75.218182584440484106,0.00119581565729732
66,576532,584620,584620,75.215606693818926942,0.0025758906215998
67,584625,592923,592923,75.2138953651597717,0.0017113286590984
68,592964,602964,602964,75.201418153652554111,0.0124772115072034
69,602969,612969,612969,75.200648293824585267,0.000769859827997266
70,612974,622974,622974,75.198877709102731615,0.00177058472189628
71,622979,632979,632979,75.197677772989777623,0.00119993611289715
72,632986,642986,642986,75.195330426219172182,0.00234734677060544
73,642994,652471,652471,75.194002141977946962,0.00132828424129627
74,652478,657786,657786,75.192281866038840121,0.00172027593910684
75,657793,667793,667793,75.190027581112730104,0.00225428492609581
76,667798,677798,677798,75.188626542693526744,0.00140103841920336
77,677803,685339,685339,75.187153129137016094,0.00147341355649644
78,685345,693789,693789,75.186029373102343243,0.00112375603470127
79,693796,701343,701343,75.184487076914450654,0.00154229618780732
80,701348,711348,711348,75.18368836871455585,0.000798708199894804
81,711355,721355,721355,75.181664425530584595,0.00202394318399968
82,721365,730674,730674,75.180129432424962488,0.00153499310559368
83,730680,740680,740680,75.178031279116311225,0.00209815330870811
84,740688,750688,750688,75.177724650508963578,0.000306628607290804
85,750694,760694,760694,75.176654634849967351,0.00107001565901044
86,760702,769245,769245,75.1753507775251677,0.00130385732479965
87,769252,778407,778407,75.173799971704653444,0.00155080582050005
88,778414,788124,788124,75.172835082163516063,0.000964889541194225
89,788130,798130,798130,75.171530855569784535,0.00130422659370311
90,798137,808137,808137,75.170539870892866929,0.000990984676903395
91,808139,818139,818139,75.169688009110700477,0.000851861782194874
92,818144,828144,828144,75.168952630604280785,0.000735378506405482
93,828150,838150,838150,75.167794034159200578,0.00115859644509442
94,838154,846507,846507,75.16521678513504412,0.00257724902419909
