# data_ID_3

68 atoms
4 atom types
68 bonds
100 angles
136 dihedrals
96 impropers


7 bond types
8 angle types
3 dihedral types
1 improper types

0.000000    8.924600   xlo xhi
0.000000    5.337407   ylo yhi
0.000000   30.744697   zlo zhi

  0.347491  -12.161305   -3.414799   xy xz yz

Atoms

1  1  1 0.362833 5.552000 4.968241 30.818355
2  1  1 0.362833 6.941831 5.380892 28.885608
3  1  1 0.362833 6.778053 5.345592 30.270362
4  1  1 0.362833 4.489798 4.626423 29.981610
5  1  1 0.362833 5.879509 5.038723 28.048910
6  1  1 0.341367 4.653531 4.661395 28.596841
7  1  1 -0.128654 4.875723 4.626119 18.949321
8  1  1 0.082228 6.265554 5.038770 17.016574
9  1  1 -0.080598 6.101777 5.003470 18.401328
10  1  1 0.324103 3.813521 4.284301 18.112576
11  1  1 0.362833 5.203233 4.696601 16.179876
12  1  1 0.341367 3.977255 4.319273 16.727808
13  1  1 -0.128654 6.121486 1.892168 24.428114
14  1  1 0.082228 7.511317 2.304819 22.495367
15  1  1 -0.080598 7.347539 2.269519 23.880121
16  1  1 0.324103 5.059284 1.550350 23.591369
17  1  1 0.362833 6.448995 1.962650 21.658669
18  1  1 0.341367 5.223018 1.585322 22.206601
19  1  1 -0.128654 7.204713 1.810642 5.820950
20  1  1 0.082228 8.594544 2.223293 3.888203
21  1  1 -0.080598 8.430767 2.187993 5.272957
22  1  1 0.324103 6.142512 1.468824 4.984205
23  1  1 0.362833 7.532223 1.881124 3.051505
24  1  1 0.341367 6.306245 1.503796 3.599437
25  1  2 -0.128654 7.612456 5.614218 30.914045
26  1  2 0.082228 5.980698 5.058099 26.965920
27  1  2 -0.080598 6.936179 5.272095 19.045011
28  1  2 0.324103 5.304421 4.715977 15.096886
29  1  2 -0.071561 8.181942 2.538144 24.523804
30  1  2 -0.071561 6.550184 1.982025 20.575679
31  1  2 -0.071561 9.265170 2.456618 5.916640
32  1  2 -0.071561 7.633411 1.900499 1.968515
33  1  3 -0.071561 5.443874 4.951025 32.242979
34  1  3 -0.069518 8.189558 5.765539 28.327424
35  1  3 -0.173863 3.628155 4.331222 27.724726
36  1  3 0.112633 2.824704 4.072246 27.041123
37  1  3 -0.071561 4.767597 4.608903 20.373945
38  1  3 -0.069518 7.513282 5.423417 16.458391
39  1  3 -0.173863 2.951878 3.989100 15.855692
40  1  3 0.112633 2.148427 3.730124 15.172089
41  1  3 -0.071561 6.013360 1.874951 25.852738
42  1  3 -0.069518 8.759045 2.689465 21.937184
43  1  3 -0.173863 4.197641 1.255148 21.334485
44  1  3 0.112633 3.394190 0.996172 20.650882
45  1  3 -0.071561 7.096587 1.793426 7.245574
46  1  3 -0.069518 9.842272 2.607939 3.330020
47  1  3 -0.173863 5.280868 1.173622 2.727321
48  1  3 0.112633 4.477418 0.914646 2.043718
49  1  4 -0.071561 3.355850 4.277415 30.478077
50  1  4 -0.069518 6.442684 5.271529 32.923585
51  1  4 -0.173863 4.354087 4.616459 32.757144
52  1  4 0.112633 8.315178 5.791194 27.079269
53  1  4 -0.071561 9.132282 6.069830 29.097645
54  1  4 -0.069518 2.679573 3.935292 18.609043
55  1  4 -0.173863 5.766407 4.929407 21.054551
56  1  4 0.112633 3.677810 4.274337 20.888110
57  1  4 -0.071561 7.638901 5.449072 15.210235
58  1  4 -0.069518 8.456006 5.727708 17.228612
59  1  4 -0.173863 3.925336 1.201341 24.087836
60  1  4 0.112633 7.012170 2.195456 26.533344
61  1  4 -0.071561 4.923573 1.540386 26.366904
62  1  4 -0.069518 8.884664 2.715120 20.689028
63  1  4 -0.173863 9.701769 2.993756 22.707405
64  1  4 0.112633 5.008564 1.119815 5.480672
65  1  4 -0.302271 8.095397 2.113930 7.926180
66  1  4 -0.235574 6.006801 1.458860 7.759740
67  1  4 -0.179793 9.967892 2.633594 2.081864
68  1  4 -0.236393 10.784996 2.912230 4.100241
