MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,13,10013,10013,72.902272618867144161,49927.0977273811
2,10054,20054,20054,64.603670689902173763,8.2986019289649
3,20456,30456,30456,59.741239302972005021,4.8624313869302
4,30470,40470,40470,58.729656723449302547,1.0115825795227
5,40552,50552,50552,55.468012237318419011,3.2616444861309
6,50760,60760,60760,55.012469335861929665,0.455542901456496
7,60776,70776,70776,56.860808450665409453,1.8483391148035
8,71002,81002,81002,54.681490579344796288,2.1793178713206
9,81165,91165,91165,53.990646833303607366,0.690843746041203
10,91167,101167,101167,53.937103503254220982,0.0535433300494006
11,101182,111182,111182,54.064204522509996309,0.127101019255804
12,111225,121225,121225,53.981299425003165027,0.0829050975068029
13,121272,131272,131272,53.830869612858109008,0.150429812145099
14,131303,141303,141303,53.70393437954520266,0.126935233312899
15,141315,151052,151052,53.766826085733562479,0.0628917061883953
16,151087,161087,161087,53.676312327371029198,0.0905137583625972
17,161096,171096,171096,53.674412160586250309,0.00190016678470073
18,171123,181123,181123,53.503671185427037926,0.170740975159298
19,181149,191149,191149,53.482753092493240388,0.0209180929338046
20,191157,201157,201157,53.493449680815963632,0.0106965883228014
21,201181,211181,211181,53.483016004208387528,0.0104336766075974
22,211201,221201,221201,53.446600638555452178,0.0364153656528998
23,221212,230476,230476,53.449118908786822146,0.00251827023129891
24,230482,240482,240482,53.429148838434358026,0.0199700703524002
25,240493,250493,250493,53.439102015401296342,0.00995317696690279
26,250501,260501,260501,53.452206154036169039,0.013104138634894
27,260512,270512,270512,53.441970847336918382,0.0102353066993004
28,270534,280534,280534,53.382514056560907534,0.0594567907759966
29,280543,290543,290543,53.399407416824963946,0.016893360264099
30,290559,300559,300559,53.382935084507906254,0.0164723323171003
31,300565,310423,310423,53.356322108386741832,0.0266129761211999
32,310429,317392,317392,53.338910062901184972,0.0174120454855
33,317401,325503,325503,53.330593052660589137,0.00831701024059583
34,325507,332348,332348,53.327359784851658731,0.00323326780890199
35,332355,342355,342355,53.322890531379059098,0.00446925347259963
36,342364,351010,351010,53.310031140233405722,0.0128593911457031
37,351015,361015,361015,53.302397960746226602,0.00763317948720044
38,361021,368667,368667,53.299183457903787087,0.00321450284239688
39,368676,378676,378676,53.292126195976550207,0.00705726192720135
40,378681,388681,388681,53.283253254008243971,0.00887294196839861
41,388695,398695,398695,53.301470683500888015,0.0182174294927009
42,398716,408716,408716,53.333552552210278463,0.0320818687093976
43,408722,418722,418722,53.32619128101715944,0.00736127119309771
44,418729,428729,428729,53.314156384241179865,0.0120348967760009
45,428737,436661,436661,53.305968431665860408,0.00818795257529814
46,436665,446106,446106,53.304214260781769497,0.00175417088410512
47,446108,449712,449712,53.303887172366536618,0.000327088415296828
48,449713,452750,452750,53.304008610623320408,0.000121438256798001
49,452753,455195,455195,53.304053279322886283,4.46686996014023e-05
50,455199,462351,462351,53.292283143056209838,0.0117701362666978
51,462362,471656,471656,53.31042998670836397,0.0181468436521968
52,471663,481663,481663,53.294896869392793803,0.0155331173155986
53,481673,489857,489857,53.283428290932064897,0.0114685784607005
54,489886,499886,499886,53.302261213744415613,0.018832922812301
55,499893,509893,509893,53.299059068762588254,0.00320214498179894
56,509903,518135,518135,53.287882083721655135,0.0111769850409047
57,518138,528138,528138,53.287589209580033867,0.000292874141699428
58,528150,538150,538150,53.308484415610344342,0.0208952060303034
59,538154,543332,543332,53.302737631335922686,0.00574678427440034
60,543356,553356,553356,53.293635560927569372,0.00910207040830358
61,553367,563367,563367,53.289922783239802584,0.00371277768779521
62,563381,573104,573104,53.288885797124123656,0.00103698611570024
63,573110,583110,583110,53.277846583076531317,0.0110392140475994
64,583122,593122,593122,53.287402559044089401,0.00955597596759361
65,593130,603130,603130,53.274087469756793212,0.0133150892872962
66,603139,613139,613139,53.270784488373109866,0.00330298138369756
67,613146,619872,619872,53.265129303555447393,0.00565518481770511
68,619892,629892,629892,53.224314001494924753,0.0408153020604942
69,629899,639899,639899,53.219544653789142785,0.00476934770580328
70,639902,649902,649902,53.218415735682015111,0.00112891810709925
71,649909,656303,656303,53.224558244338382451,0.00614250865639576
72,656308,666308,666308,53.220164204306399824,0.00439404003199684
73,666313,674493,674493,53.217409725636116491,0.00275447867029754
74,674498,684498,684498,53.212382369788130632,0.00502735584800007
75,684505,694505,694505,53.2193315017178179,0.00694913192969437
76,694511,704511,704511,53.215853332617257365,0.00347816910049659
77,704518,710780,710780,53.213442265901008454,0.00241106671629865
78,710784,720784,720784,53.212717191871064415,0.000725074029901407
79,720788,730510,730510,53.211885892562023059,0.000831299309098199
80,730514,736307,736307,53.211694755293748926,0.000191137268302555
