MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,91,10091,10091,78.349305502266389567,49921.6506944977
2,10122,20122,20122,106.75033782025944618,28.4010323179926
3,20193,30193,30193,65.678233133394570586,41.0721046868644
4,30220,40220,40220,144.68899650561911585,79.0107633722244
5,40269,50269,50269,194.80345918241795289,50.114462676799
6,50324,60324,60324,218.02896932951887266,23.225510147101
7,60421,70421,70421,110.82101723963242534,107.207952089887
8,70517,80517,80517,101.55856947010917679,9.26244776952299
9,80691,90691,90691,120.45239915788745577,18.893829687778
10,90699,100699,100699,118.50038029485212121,1.95201886303501
11,100868,110868,110868,125.39935755415496033,6.89897725930301
12,111017,121017,121017,127.77244472094312755,2.373087166788
13,121028,125350,125350,129.80014537346377779,2.02770065252101
14,125403,135403,135403,133.11719331646276032,3.31704794299898
15,135448,145448,145448,153.82827571073650574,20.711082394274
16,145450,155450,155450,151.68137857065744356,2.14689714008
17,155548,165548,165548,151.51131512067934182,0.170063449977988
18,165601,175601,175601,153.69554494117306831,2.18422982049401
19,175612,185612,185612,154.55274839750398996,0.857203456330978
20,185659,195659,195659,155.98905847462020802,1.43631007711602
21,195725,203736,203736,156.79294661498224173,0.803888140361977
22,203738,213342,213342,155.10323826402395753,1.689708350958
23,213347,221845,221845,156.70812689467678069,1.60488863065302
24,221853,227479,227479,156.99133077437943484,0.283203879702
25,227512,236798,236798,159.0991862565921906,2.10785548221298
26,236801,243973,243973,158.98129142355546151,0.117894833036985
27,244173,249031,249031,154.60573994772659034,4.37555147582802
28,249075,255294,255294,157.40725691376852069,2.80151696604202
29,255344,265344,265344,158.87327430964566588,1.466017395877
30,265392,271438,271438,198.35306516021179846,39.479790850566
31,271449,279171,279171,199.17871151673401187,0.825646356522014
32,279206,285513,285513,199.89791617711708227,0.719204660382985
33,285541,295541,295541,200.4521404963283544,0.554224319211016
34,295584,305584,305584,200.2300082736331035,0.222132222695024
35,305598,309624,309624,200.76570764930275459,0.535699375670021
36,309646,319646,319646,213.90447938561868568,13.138771736316
37,319698,327234,327234,219.61384377930062328,5.70936439368199
38,327250,333932,333932,220.71994726006133192,1.10610348076
39,334030,344030,344030,218.49722158583139731,2.22272567422999
40,344048,348955,348955,219.65680931276790488,1.15958772693699
41,348957,352667,352667,219.89225480031456073,0.235445487546997
42,352670,360353,360353,221.10147551941250299,1.209220719098
43,360383,365381,365381,236.09586801752371343,14.994392498111
44,365382,375382,375382,267.50919921007539415,31.413331192551
45,375384,382189,382189,267.61767872081907171,0.108479510744019
46,382210,392210,392210,268.22529677432311246,0.607618053503984
47,392256,399885,399885,267.90826007238268858,0.317036701940026
48,399949,408496,408496,276.40315006962765665,8.49488999724502
49,408499,415254,415254,277.14044881881477522,0.737298749187005
50,415257,425257,425257,277.67985575461341341,0.539406935798013
51,425262,434881,434881,276.35965958303154366,1.32019617158102
52,434889,444889,444889,276.34669877982810249,0.0129608032040096
53,444939,452977,452977,284.66579110499412764,8.31909232516603
54,453043,459319,459319,292.24050572567210793,7.57471462067798
55,459360,468094,468094,302.92021556642464475,10.679709840753
56,468098,478098,478098,311.99263025900921775,9.072414692584
57,478115,483276,483276,323.87711614710724461,11.884485888098
58,483302,488628,488628,324.64121642516323618,0.764100278055992
59,488633,493191,493191,324.64401264955239412,0.00279622438898741
60,493193,499228,499228,324.49287270645146464,0.151139943100986
61,499353,509353,509353,321.84017007777856634,2.65270262867199
62,509363,513906,513906,322.57587641908179421,0.735706341303
63,513955,519889,519889,323.53203112672179032,0.956154707639996
64,519953,525203,525203,323.75147745909708874,0.219446332374957
65,525236,530805,530805,324.72125338695866503,0.969775927862031
66,530879,540879,540879,330.99376225769032089,6.27250887073097
67,540904,550904,550904,332.16543555776240737,1.17167330007203
68,550920,557596,557596,332.94063366934148007,0.775198111579016
69,557617,566221,566221,333.71931394918226488,0.778680279840955
70,566239,576239,576239,334.04033610149355127,0.321022152312025
71,576289,586289,586289,333.53245061861190379,0.507885482881989
72,586299,596299,596299,333.7685087361341516,0.236058117521964
73,596325,606325,606325,333.92118834329897936,0.152679607164998
74,606329,613619,613619,333.98836529433623355,0.0671769510370268
75,613623,619902,619902,334.08335243829225192,0.0949871439560184
76,619959,629959,629959,330.92414035732792854,3.15921208096404
77,629969,639969,639969,331.76964476134418192,0.845504404016026
78,639994,649994,649994,332.46178944320797655,0.692144681863965
79,650016,660016,660016,332.91037911125562232,0.448589668048044
80,660064,670064,670064,332.18369203718356175,0.726687074072004
81,670083,677256,677256,373.42580404975848296,41.242112012574
82,677265,687265,687265,385.06721006928455608,11.641406019527
83,687283,697283,697283,385.66349133652329328,0.596281267237998
84,697288,704108,704108,385.8298748158407534,0.166383479317972
85,704136,714136,714136,386.41692193302048963,0.587047117178997
86,714189,722613,722613,385.95210076545305355,0.464821167566981
87,722625,732625,732625,386.4163403735296356,0.46423960807698
