# data_ID_0

68 atoms
4 atom types
68 bonds
100 angles
136 dihedrals
96 impropers


7 bond types
8 angle types
3 dihedral types
1 improper types

0.000000   43.394843   xlo xhi
0.000000    6.184109   ylo yhi
0.000000    5.457253   zlo zhi

  2.039086   -0.341142    0.268797   xy xz yz

Atoms

1  1  1 0.362833 31.797284 17.629001 1.250859
2  1  1 0.362833 33.097869 16.298363 2.792061
3  1  1 0.362833 33.031230 17.269751 1.793273
4  1  1 0.362833 30.630136 17.016737 1.707099
5  1  1 0.362833 31.930477 15.686338 3.248452
6  1  1 0.341367 30.696605 16.045547 2.706092
7  1  1 -0.128654 20.263669 13.317385 3.207959
8  1  1 0.082228 21.564254 11.986747 4.749161
9  1  1 -0.080598 21.497615 12.958135 3.750373
10  1  1 0.324103 19.096521 12.705121 3.664199
11  1  1 0.362833 20.396862 11.374722 5.205552
12  1  1 0.341367 19.162989 11.733931 4.663191
13  1  1 -0.128654 8.185912 4.244078 0.355075
14  1  1 0.082228 9.486497 2.913440 1.896276
15  1  1 -0.080598 9.419859 3.884828 0.897488
16  1  1 0.324103 7.018765 3.631814 0.811314
17  1  1 0.362833 8.319106 2.301415 2.352668
18  1  1 0.341367 7.085233 2.660624 1.810307
19  1  1 -0.128654 27.555943 10.380888 -1.594139
20  1  1 0.082228 28.856528 9.050250 -0.052938
21  1  1 -0.080598 28.789890 10.021637 -1.051726
22  1  1 0.324103 26.388796 9.768623 -1.137900
23  1  1 0.362833 27.689137 8.438225 0.403454
24  1  1 0.341367 26.455264 8.797434 -0.138907
25  1  2 -0.128654 33.947159 17.740944 1.444322
26  1  2 0.082228 31.954694 14.925928 4.026059
27  1  2 -0.080598 22.413544 13.429328 3.401422
28  1  2 0.324103 20.421079 10.614312 5.983159
29  1  2 -0.071561 10.335787 4.356021 0.548537
30  1  2 -0.071561 8.343323 1.541005 3.130274
31  1  2 -0.071561 29.705818 10.492831 -1.400677
32  1  2 -0.071561 27.713354 7.677815 1.181060
33  1  3 -0.071561 31.791584 18.629525 0.230831
34  1  3 -0.069518 34.353839 15.931989 3.344017
35  1  3 -0.173863 29.565311 15.408828 3.191643
36  1  3 0.112633 28.678747 14.909918 3.572442
37  1  3 -0.071561 20.257969 14.317909 2.187931
38  1  3 -0.069518 22.820224 11.620373 5.301117
39  1  3 -0.173863 18.031696 11.097212 5.148743
40  1  3 0.112633 17.145132 10.598302 5.529541
41  1  3 -0.071561 8.180213 5.244603 -0.664954
42  1  3 -0.069518 10.742467 2.547066 2.448233
43  1  3 -0.173863 5.953940 2.023905 2.295858
44  1  3 0.112633 5.067375 1.524995 2.676657
45  1  3 -0.071561 27.550244 11.381412 -2.614168
46  1  3 -0.069518 30.112498 8.683875 0.499019
47  1  3 -0.173863 25.323971 8.160714 0.346644
48  1  3 0.112633 24.437406 7.661804 0.727443
49  1  4 -0.071561 29.488157 17.341631 1.212677
50  1  4 -0.069518 32.881247 19.130273 -0.123368
51  1  4 -0.173863 30.697019 18.967558 -0.270762
52  1  4 0.112633 34.391307 15.055467 4.241033
53  1  4 -0.071561 35.392006 16.494412 2.919223
54  1  4 -0.069518 17.954542 13.030015 3.169777
55  1  4 -0.173863 21.347632 14.818657 1.833732
56  1  4 0.112633 19.163404 14.655942 1.686338
57  1  4 -0.071561 22.857692 10.743851 6.198133
58  1  4 -0.069518 23.858391 12.182795 4.876323
59  1  4 -0.173863 5.876786 3.956708 0.316892
60  1  4 0.112633 9.269876 5.745350 -1.019153
61  1  4 -0.071561 7.085647 5.582635 -1.166547
62  1  4 -0.069518 10.779935 1.670544 3.345248
63  1  4 -0.173863 11.780635 3.109489 2.023439
64  1  4 0.112633 25.246817 10.093518 -1.632322
65  1  4 -0.302271 28.639907 11.882159 -2.968367
66  1  4 -0.235574 26.455678 11.719444 -3.115761
67  1  4 -0.179793 30.149966 7.807354 1.396034
68  1  4 -0.236393 31.150666 9.246298 0.074225
