MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,49,10049,10049,69.035712845362510848,49930.9642871546
2,10157,20157,20157,66.589500135677283765,2.4462127096852
3,20219,30219,30219,64.2907680493461271,2.2987320863312
4,30281,40281,40281,63.44642959616196265,0.844338453184101
5,40327,50327,50327,62.25693625970833267,1.1894933364537
6,50339,60339,60339,63.269636339484577547,1.0127000797763
7,60402,70402,70402,62.701957319687828374,0.567679019796799
8,70406,80406,80406,62.302457944480714502,0.3994993752071
9,80446,90446,90446,59.891824091639023209,2.4106338528417
10,90523,100523,100523,58.828428602954289772,1.06339548868471
11,100524,110524,110524,80.911374946582213852,22.0829463436279
12,110525,120525,120525,70.614547304322712762,10.2968276422595
13,120772,130772,130772,69.558921516802740825,1.05562578752
14,130886,140886,140886,69.659868343734885343,0.100946826932201
15,141127,151127,151127,69.200489687318594179,0.459378656416305
16,151163,161163,161163,69.35311747328519516,0.152627785966601
17,161295,171295,171295,69.683536473476578976,0.330419000191398
18,171511,181511,181511,77.678833785403654133,7.9952973119271
19,181522,191522,191522,77.725390504942254211,0.0465567195386001
20,191535,201535,201535,77.865671526554137927,0.140281021611798
21,201601,211601,211601,90.054549155008075445,12.188877628454
22,211701,221701,221701,90.39643929205631423,0.341890137048196
23,221921,231921,231921,90.990186400107404552,0.593747108051105
24,231985,241985,241985,105.12550946047373657,14.1353230603666
25,242048,252048,252048,112.26310856205672906,7.13759910158299
26,252163,262163,262163,112.58418935816135331,0.321080796103999
27,262179,272179,272179,112.64368872732461568,0.0594993691640013
28,272229,282229,282229,112.80237949033897848,0.158690763014008
29,282231,292231,292231,127.283224672933855,14.480845182595
30,292338,302338,302338,127.61061229569781972,0.327387622764007
31,302418,312418,312418,127.77077687856734656,0.160164582869001
32,312463,322463,322463,127.8538667314286954,0.0830898528619883
33,322486,332486,332486,127.89672130245033088,0.0428545710210102
34,332527,342527,342527,127.96189306619812953,0.0651717637479976
35,342611,352611,352611,128.04322540419900633,0.0813323380010047
36,352613,362613,362613,127.9713908503776878,0.0718345538210059
37,362646,372646,372646,128.01110790065354195,0.0397170502759963
38,372673,382673,382673,128.04737567376693619,0.0362677731129963
39,382682,392682,392682,127.9967046852848398,0.0506709884819969
40,392814,402814,402814,140.35507879764961103,12.358374112365
41,402816,412816,412816,140.25191483155072092,0.103163966099004
42,412860,422860,422860,139.7020183373129214,0.549896494237998
43,422899,432899,432899,127.06050851653554901,12.641509820777
44,432921,442921,442921,143.65214574094034106,16.591637224404
45,442935,452935,452935,143.03778427404793661,0.614361466892007
46,452985,462985,462985,152.09088353533934423,9.05309926129101
47,463055,473055,473055,167.09361249597080246,15.002728960632
48,473086,483086,483086,174.74885759606186753,7.65524510009101
49,483128,493128,493128,174.86624915110698453,0.117391555045003
50,493197,503197,503197,175.00463415263538991,0.138385001527979
51,503255,513255,513255,175.12350571625279372,0.118871563618001
52,513264,523264,523264,175.12387013505630762,0.000364418803002309
53,523294,533294,533294,187.09690856195166475,11.973038426896
54,533307,543307,543307,175.63402695927169361,11.46288160268
55,543309,553309,553309,175.5645890144145369,0.0694379448570146
56,553350,563350,563350,175.67802712913561436,0.113438114721021
57,563365,573365,573365,175.62728712646372742,0.0507400026720006
58,573376,583376,583376,175.58192207484947289,0.0453650516150219
59,583386,593386,593386,176.84147504025182229,1.259552965403
60,593397,603397,603397,176.90074587379098148,0.0592708335390171
61,603417,613417,613417,176.96638669012256173,0.0656408163319782
62,613436,623436,623436,177.02514727085542745,0.0587605807320131
63,623443,633443,633443,176.99296412195064931,0.0321831489040107
64,633453,643453,643453,176.98451606000725178,0.00844806194399439
65,643455,653455,653455,177.26223318704859366,0.277717127041996
66,653457,663457,663457,184.36113090071617648,7.09889771366701
67,663460,673460,673460,192.41295645725583086,8.05182555654
68,673613,683613,683613,205.75277078135295028,13.339814324097
69,683616,693616,693616,205.61857814653811261,0.134192634815008
70,693715,703715,703715,219.95390821841894535,14.335330071881
71,703731,713731,713731,219.97008193809631393,0.0161737196769991
72,713829,723829,723829,207.93482913162480941,12.035252806471
73,723888,733888,733888,229.88150816045916258,21.946679028834
74,733896,743896,743896,231.14991348404095106,1.26840532358202
75,743902,753902,753902,216.88318225940224693,14.266731224639
76,753942,763942,763942,216.9229161619322781,0.0397339025300028
77,763962,773962,773962,216.91078140829893073,0.0121347536330063
78,773972,783362,783362,216.8716881142937325,0.0390932940049993
79,783385,791245,791245,216.88065339284551669,0.00896527855201157
80,791251,800441,800441,216.82150606574819562,0.0591473270980032
81,800477,810477,810477,229.00156128039316172,12.180055214645
82,810512,820512,820512,229.02071978854556278,0.0191585081529979
83,820541,828144,828144,229.02287281773837435,0.00215302919201577
84,828190,838190,838190,229.06921784252875796,0.0463450247910089
85,838210,848210,848210,229.12328822135944506,0.0540703788299766
86,848218,858218,858218,229.06917431934712681,0.0541139020119772
87,858229,868229,868229,229.10873089728133323,0.039556577933979
88,868262,878262,878262,229.11745136358933905,0.00872046630800583
89,878286,888286,888286,229.10764773412461182,0.00980362946398827
90,888317,898317,898317,229.10349124649769692,0.00415648762700016
91,898337,908337,908337,229.08113334185071608,0.0223579046470093
92,908354,918354,918354,229.06607084530543261,0.015062496545994
93,918360,928360,928360,229.01333791469647849,0.052732930609011
94,928368,938368,938368,228.96606122077565715,0.0472766939199971
95,938380,948380,948380,228.92978356469237156,0.0362776560839961
96,948388,958388,958388,228.88278877619035256,0.0469947885019906
97,958396,968396,968396,228.84167860711684739,0.041110169073022
98,968401,978401,978401,228.80706731353896544,0.0346112935779956
99,978404,988404,988404,228.74437094808811821,0.0626963654509893
100,988407,998407,998407,243.44924105530515135,14.704870107217
101,998412,1008412,1008412,242.22905712984345428,1.22018392546201
102,1008419,1018419,1018419,242.18678137125863259,0.0422757585839975
103,1018429,1028429,1028429,242.15717832730899772,0.0296030439500043
104,1028461,1038461,1038461,250.11735143153185845,7.960173104223
105,1038477,1048477,1048477,250.16451130441819828,0.0471598728859988
106,1048498,1058498,1058498,250.15968737965476976,0.0048239247630022
107,1058504,1068504,1068504,250.13604447294716238,0.0236429067080053
108,1068535,1078535,1078535,250.15878585234094089,0.0227413793940059
109,1078562,1088562,1088562,250.17927598134843947,0.0204901290070154
